ID,Depth,Surface Area,Number of images
225256A,388.0,8500625.0,
225256A,389.0,8508125.0,
225256A,390.0,8515625.0,
225256A,391.0,8523125.0,
225256A,392.0,8530625.0,
225256A,393.0,8538125.0,46.0
225256A,393.0,8538125.0,
225256A,394.0,8545625.0,
225256A,395.0,8553125.0,50.0
225256A,396.0,8699687.5,
225256A,397.0,8846250.0,60.0
225256A,398.0,9338437.5,
225256A,399.0,9830625.0,20.0
225256A,400.0,9843750.0,
225256A,401.0,9856875.0,
225256A,402.0,9870000.0,
225256A,403.0,9883125.0,17.0
225256A,404.0,10005937.5,
225256A,405.0,10128750.0,11.0
225256A,406.0,10362500.0,
225256A,407.0,10596250.0,20.0
225256A,408.0,10778437.5,
225256A,409.0,10960625.0,15.0
225256A,410.0,11088125.0,
225256A,411.0,11215625.0,19.0
225256A,412.0,11348437.5,
225256A,413.0,11481250.0,56.0
225256A,414.0,11730625.0,
225256A,415.0,11980000.0,39.0
225256A,416.0,12162500.0,
225256A,417.0,12345000.0,60.0
225256A,418.0,12468125.0,
225256A,419.0,12591250.0,69.0
225256A,420.0,12804687.5,
225256A,421.0,13018125.0,51.0
225256A,422.0,13135937.5,
225256A,423.0,13253750.0,68.0
225256A,424.0,13375000.0,
225256A,425.0,13496250.0,28.0
225256A,426.0,13555312.5,
225256A,427.0,13614375.0,31.0
225256A,428.0,13723125.0,
225256A,429.0,13831875.0,42.0
225256A,430.0,13964375.0,
225256A,431.0,14096875.0,56.0
225256A,432.0,14170000.0,
225256A,433.0,14243125.0,41.0
225256A,434.0,14340625.0,
225256A,435.0,14438125.0,47.0
225256A,436.0,14479062.5,
225256A,437.0,14520000.0,31.0
225256A,438.0,14610937.5,
225256A,439.0,14701875.0,83.0
225256A,440.0,14768437.5,
225256A,441.0,14835000.0,58.0
225256A,442.0,14922812.5,
225256A,443.0,15010625.0,42.0
225256A,444.0,15084375.0,
225256A,445.0,15158125.0,
225256A,445.0,15158125.0,21.0
225256A,446.0,15231875.0,
225256A,447.0,15305625.0,
225256A,448.0,15379375.0,
225256A,449.0,15453125.0,
225256A,450.0,15526875.0,
